Date,Day,Open,High,Low,Close,Adj Open,Adj High,Adj Close
5/27/04,Thurs,0.00,0.00,0.00,0.00,2.37,2.40,2.40
5/28/04,Fri,0.00,0.00,0.00,0.00,2.40,2.38,2.38
6/1/04,Tues,0.00,0.00,0.00,0.00,2.38,2.37,2.37
6/2/04,Wed,0.00,0.00,0.00,0.00,2.37,2.37,2.37
6/3/04,Thurs,0.00,0.00,0.00,0.00,2.37,2.36,2.36
6/4/04,Fri,0.00,0.00,0.00,0.00,2.36,2.36,2.36
6/7/04,Mon,0.00,0.00,0.00,0.00,2.36,2.43,2.43
6/8/04,Tues,0.00,0.00,0.00,0.00,2.43,2.48,2.48
6/9/04,Wed,0.00,0.00,0.00,0.00,2.48,2.46,2.46
6/10/04,Thurs,0.00,0.00,0.00,0.00,2.46,2.51,2.51
6/14/04,Mon,0.00,0.00,0.00,0.00,2.51,2.51,2.51
6/15/04,Tues,0.00,0.00,0.00,0.00,2.51,2.56,2.56
6/16/04,Wed,0.00,0.00,0.00,0.00,2.56,2.58,2.58
6/17/04,Thurs,0.00,0.00,0.00,0.00,2.58,2.57,2.57
6/18/04,Fri,0.00,0.00,0.00,0.00,2.57,2.59,2.59
6/21/04,Mon,0.00,0.00,0.00,0.00,2.59,2.56,2.56
6/22/04,Tues,0.00,0.00,0.00,0.00,2.56,2.63,2.63
6/23/04,Wed,0.00,0.00,0.00,0.00,2.63,2.77,2.77
6/24/04,Thurs,0.00,0.00,0.00,0.00,2.77,2.73,2.73
6/25/04,Fri,0.00,0.00,0.00,0.00,2.73,2.70,2.70
6/28/04,Mon,0.00,0.00,0.00,0.00,2.70,2.68,2.68
6/29/04,Tues,0.00,0.00,0.00,0.00,2.68,2.72,2.72
6/30/04,Wed,0.00,0.00,0.00,0.00,2.72,2.79,2.79
7/1/04,Thurs,0.00,0.00,0.00,0.00,2.79,2.75,2.75
7/2/04,Fri,0.00,0.00,0.00,0.00,2.75,2.77,2.77
7/6/04,Tues,0.00,0.00,0.00,0.00,2.77,2.67,2.67
7/7/04,Wed,0.00,0.00,0.00,0.00,2.67,2.74,2.74
7/8/04,Thurs,0.00,0.00,0.00,0.00,2.74,2.68,2.68
7/9/04,Fri,0.00,0.00,0.00,0.00,2.68,2.67,2.67
7/12/04,Mon,0.00,0.00,0.00,0.00,2.67,2.70,2.70
7/13/04,Tues,0.00,0.00,0.00,0.00,2.70,2.76,2.76
7/14/04,Wed,0.00,0.00,0.00,0.00,2.76,2.70,2.70
7/15/04,Thurs,0.00,0.00,0.00,0.00,2.70,2.67,2.67
7/16/04,Fri,0.00,0.00,0.00,0.00,2.67,2.66,2.66
7/19/04,Mon,0.00,0.00,0.00,0.00,2.66,2.65,2.65
7/20/04,Tues,0.00,0.00,0.00,0.00,2.65,2.72,2.72
7/21/04,Wed,0.00,0.00,0.00,0.00,2.72,2.62,2.62
7/22/04,Thurs,0.00,0.00,0.00,0.00,2.62,2.72,2.72
7/23/04,Fri,0.00,0.00,0.00,0.00,2.72,2.72,2.72
7/26/04,Mon,0.00,0.00,0.00,0.00,2.72,2.70,2.70
7/27/04,Tues,0.00,0.00,0.00,0.00,2.70,2.79,2.79
7/28/04,Wed,0.00,0.00,0.00,0.00,2.79,2.84,2.84
7/29/04,Thurs,0.00,0.00,0.00,0.00,2.84,2.91,2.91
7/30/04,Fri,0.00,0.00,0.00,0.00,2.91,2.93,2.93
8/2/04,Mon,0.00,0.00,0.00,0.00,2.93,2.97,2.97
8/3/04,Tues,0.00,0.00,0.00,0.00,2.97,2.96,2.96
8/4/04,Wed,0.00,0.00,0.00,0.00,2.96,2.96,2.96
8/5/04,Thurs,0.00,0.00,0.00,0.00,2.96,2.86,2.86
8/6/04,Fri,0.00,0.00,0.00,0.00,2.86,2.77,2.77
8/9/04,Mon,0.00,0.00,0.00,0.00,2.77,2.83,2.83
8/10/04,Tues,0.00,0.00,0.00,0.00,2.83,2.93,2.93
8/11/04,Wed,0.00,0.00,0.00,0.00,2.93,2.91,2.91
8/12/04,Thurs,0.00,0.00,0.00,0.00,2.91,2.89,2.89
8/13/04,Fri,0.00,0.00,0.00,0.00,2.89,2.93,2.93
8/16/04,Mon,0.00,0.00,0.00,0.00,2.93,3.02,3.02
8/17/04,Tues,0.00,0.00,0.00,0.00,3.02,3.07,3.07
8/18/04,Wed,0.00,0.00,0.00,0.00,3.07,3.13,3.13
8/19/04,Thurs,0.00,0.00,0.00,0.00,3.13,3.12,3.12
8/20/04,Fri,0.00,0.00,0.00,0.00,3.12,3.16,3.16
8/23/04,Mon,0.00,0.00,0.00,0.00,3.16,3.19,3.19
8/24/04,Tues,0.00,0.00,0.00,0.00,3.19,3.26,3.26
8/25/04,Wed,0.00,0.00,0.00,0.00,3.26,3.38,3.38
8/26/04,Thurs,0.00,0.00,0.00,0.00,3.38,3.39,3.39
8/27/04,Fri,0.00,0.00,0.00,0.00,3.39,3.43,3.43
8/30/04,Mon,0.00,0.00,0.00,0.00,3.43,3.39,3.39
8/31/04,Tues,0.00,0.00,0.00,0.00,3.39,3.42,3.42
